message_id,conversation_id,customer_text,parent_id,created_at,intent,label_notes
773111,773110,@SpotifyCares payment for student premium only via credit card or there will be another way?,773110,Thu Oct 12 01:21:06 +0000 2017,,
2125249,2125248,"@SpotifyCares No, thanks. 🙂 My problem about Spotify was clear!",2125248,Wed Nov 08 18:30:53 +0000 2017,,
1362120,1362119,"@SpotifyCares Can't believe you are so prompt. Forget my problem, you're so divine. Your social listening abilities are super awesome. Rspkt",1362119,Fri Oct 27 20:31:07 +0000 2017,,
89535,89534,"@SpotifyCares Thanks for response! The app says that music is playing, but no sound comes out. I have to restart to make it work again.",89534,Thu Nov 30 15:04:52 +0000 2017,,
2422829,2422825,@SpotifyCares Do you think it only affects me? That all other users get their correct location from your database but mine and mine alone is pulled from IP?,2422828,Tue Nov 14 19:43:12 +0000 2017,,
1298054,1298050,@SpotifyCares Yes it did. Thank you!,1298053,Thu Oct 26 22:53:33 +0000 2017,,
1692160,1692152,@SpotifyCares Doesn’t work 🙁 it keeps logging me out and skipping and pausing songs.,1692159,Mon Nov 06 17:18:21 +0000 2017,,
1490604,1490600,@SpotifyCares Actually I can't access any of my songs before I could choose what song to listen too also if I go on shuffle play and a song I dislike is on I have a certain amount of skips and before you say I need premium I already have premium so help 😰,1490602,Sat Nov 25 17:08:18 +0000 2017,,
328661,328660,@SpotifyCares Low power mode is working for now. Will do a complete device reset after I can it up and reach back out.,328662,Sat Oct 07 17:26:51 +0000 2017,,
315129,315119,@SpotifyCares My main profile is https://t.co/GzHhm3mago but my music was moved to https://t.co/ntUudiZ5X8,315127,Sat Oct 07 06:50:24 +0000 2017,,
1776734,1776730,"@SpotifyCares I try to shuffle in playlist and it really doesn't play randomly, plays the same artist almost continuously. Don't know what connect is",1776733,Wed Oct 18 22:26:01 +0000 2017,,
1312611,1312609,@SpotifyCares Yup just checked 3 or 4 artists and only like 30 songs in the queue. This is also on mobile if that makes a difference,1312613,Fri Oct 27 06:26:07 +0000 2017,,
2293246,2293245,@SpotifyCares Thanks!,2293247,Tue Nov 21 23:30:29 +0000 2017,,
1691143,1526264,"@SpotifyCares Thank you. But does that move an account., or just delete it along with the history and playlists etc?",1526266,Mon Nov 06 18:39:09 +0000 2017,,
2317516,2317510,@SpotifyCares I've already restarted numerous times today with it happening but I'll humor you!,2317515,Mon Nov 13 10:10:40 +0000 2017,,
2153115,2153114,@SpotifyCares I Guess There Wont Be A Spotify App For The Apple Watch Any Time Soon ! 😩,2153114,Thu Nov 09 03:39:25 +0000 2017,,
1180908,1180902,"@SpotifyCares Can you just pass the message to your app development team, ta.",1180907,Wed Oct 25 06:45:52 +0000 2017,,
974980,974979,@SpotifyCares CAN YOU PLEASE REPLY MY DM?,974979,Wed Oct 11 18:47:21 +0000 2017,,
394676,394673,@SpotifyCares Yes my phone is the only device this seems to be happening on,394678,Mon Oct 09 00:22:50 +0000 2017,,
2520924,2520923,"@SpotifyCares https://t.co/MZpACvldHc Eden link, incorrect album https://t.co/Yvkn7BvDSG",2520925,Thu Nov 16 01:25:31 +0000 2017,,
351722,351720,@SpotifyCares Not a problem. Hopefully you'll fix it soon.,351726,Sun Oct 08 10:45:02 +0000 2017,,
2895463,2895462,"@SpotifyCares I didn't say it was your fault really, just want more of it available",2895462,Tue Nov 28 16:21:06 +0000 2017,,
794685,794678,@SpotifyCares Thank you for your quick reply but panic over!! I’m logged in and enjoying the tunes once again 😎,794686,Wed Oct 11 17:51:40 +0000 2017,,
1846019,1846015,"@SpotifyCares Another month has gone by, pls give me news on the bugfix.. Spare me the PR bullshit pls",1846018,Thu Oct 19 17:51:08 +0000 2017,,
2969638,2969634,@SpotifyCares 👍🏻😁,2969637,Thu Nov 30 00:39:36 +0000 2017,,
1742968,1742963,"@SpotifyCares already tried. its just my account, plus not working on different browsers. when someone else logs in, their account does work...its so annoying haha",1742966,Wed Nov 08 15:43:01 +0000 2017,,
2293463,2293460,@SpotifyCares i mean thankss,2293461,Sat Nov 11 23:47:19 +0000 2017,,
1386928,1386927,@SpotifyCares I signed up! It took the €4.99 out of my account but I don’t have it can you look into for me ?,1386929,Wed Nov 01 22:28:27 +0000 2017,,
777637,777634,@SpotifyCares The songs in my library.,777636,Thu Oct 12 11:45:51 +0000 2017,,
616783,616777,"@SpotifyCares Tried again.  Closed.  Opened.

No update.

Signed out.  Signed back in.

as I stated no big deal...just a bit annoying.

Thanks.",616782,Thu Oct 26 12:56:26 +0000 2017,,
2616777,2616776,"@SpotifyCares Windows 10, all the latest updates and drivers installed. Latest version of spotify as far as Im aware 1.0.67.582.g19436fa3 - it updated a day or two ago",2616776,Fri Nov 17 14:51:08 +0000 2017,,
997163,997161,@SpotifyCares This https://t.co/nBPLTZTNw7,997167,Tue Nov 21 18:13:58 +0000 2017,,
1860236,1860229,"@SpotifyCares and it shows its stopped at the song, not pausing or so That happens to often and i see other too have the problem in the @115888 community",1860237,Thu Oct 19 15:27:49 +0000 2017,,
1928444,1928443,"@SpotifyCares Well, this doesn't help me at all. I haven't updated the app and I'm in the middle of the amazon rainforest on a slow 4G connection",1928443,Fri Oct 27 20:02:30 +0000 2017,,
599460,599459,@SpotifyCares  https://t.co/QMaxwq86l4,599459,Sun Dec 03 21:46:06 +0000 2017,,
2746304,2746303,"@SpotifyCares thanks sisters, i appreciate it 🤠",2746305,Mon Nov 20 22:17:24 +0000 2017,,
318317,318316,@SpotifyCares the info sent are only about Groove Music... which is totally unrelated to my post... :/,318316,Sat Oct 07 10:11:37 +0000 2017,,
726813,726811,@SpotifyCares Yes. I tried registering for unidays found the institute but it said they weren't supported.,726815,Wed Oct 11 06:02:49 +0000 2017,,
1077071,1077069,@SpotifyCares It doesn’t crash but it plays an ad right directly after it says I’m getting my thirty minutes,1077075,Mon Nov 06 13:02:49 +0000 2017,,
1346920,1346916,@SpotifyCares Private network through work. I have not had this issue and been using for a year,1346919,Fri Oct 27 18:18:50 +0000 2017,,
80942,80941,@SpotifyCares 😭😭😭😂😂😂😂,80941,Thu Nov 30 14:26:09 +0000 2017,,
1834459,1834454,@SpotifyCares This does not help.. I actually think it is bugged as it hasnt changed in weeks with only 1 song related that I have no disliked and removed,1834458,Thu Oct 19 02:09:15 +0000 2017,,
2442928,2442922,@SpotifyCares is this right https://t.co/xOQEGoNN6M,2442929,Tue Nov 14 23:49:56 +0000 2017,,
1679842,1679841,@SpotifyCares 1 album,1679843,Thu Nov 30 18:47:23 +0000 2017,,
2095141,2095140,"@SpotifyCares @115888 The only step I haven't tried yet is the ""manage devices"", all the rest I've done or is irrelevant. Would that possibly work? Cause I see two problems:
-Individual songs over time deleting themselves
-All download buttons reset and all music gone at once",2095143,Wed Nov 08 07:06:57 +0000 2017,,
841998,841997,"@SpotifyCares Thank you for replying!!Can't wait for Spotify to release in India!!🙂",841999,Fri Oct 13 12:15:53 +0000 2017,,
1316887,1316881,@SpotifyCares But it only happens with Spotify? Nice handball thanks for nothing,1316886,Mon Oct 30 06:25:10 +0000 2017,,
2920759,2920758,"@SpotifyCares PC, Windows 10, v. 1.0.68.407",2920758,Wed Nov 29 02:34:26 +0000 2017,,
2887775,620343,@SpotifyCares Should you not give you members a better deal my son loves listening to his music and pays his £9-99 you should try and be fair with everyone,2887774,Tue Nov 28 18:38:28 +0000 2017,,
2240459,2240458,@SpotifyCares All sorted now! But thanks for the response :),2240458,Fri Nov 10 14:20:50 +0000 2017,,
1021648,1021646,@SpotifyCares Ok hang on,1021650,Thu Oct 12 15:55:23 +0000 2017,,
429245,429239,"@SpotifyCares Started doing it again yesterday. However, the same issue occurs when I use iTunes now, so, it must be an iOS problem.",429244,Mon Oct 16 12:19:34 +0000 2017,,
1649291,1649290,@SpotifyCares Why would I️ do this when you’ve already bashed the idea? https://t.co/HVaThml7LD,1649290,Mon Nov 06 00:46:30 +0000 2017,,
2352389,2352385,@SpotifyCares I deleted and reinstalled but that did not fix it,2352388,Mon Nov 13 21:12:19 +0000 2017,,
1776741,1776740,@SpotifyCares The most recent versions of both,1776740,Tue Oct 17 22:57:09 +0000 2017,,
673024,673023,"@SpotifyCares Ok, thanks.",673025,Thu Oct 05 14:58:16 +0000 2017,,
2417409,2417408,@SpotifyCares If you sort that I’ll finally be able to get rid of iTunes once and for all,2417408,Sun Oct 29 10:45:04 +0000 2017,,
1283285,1283281,@SpotifyCares Yes but the problem returns,1283284,Thu Oct 26 18:17:00 +0000 2017,,
1615804,1615799,@SpotifyCares Yes,1615803,Tue Oct 31 22:29:02 +0000 2017,,
2318230,2318226,@SpotifyCares Still none :( https://t.co/PqzrhPe9f4,2318229,Mon Nov 13 10:53:08 +0000 2017,,
2251776,2251775,@SpotifyCares That really is not my issue. Ads for businesses in Chicago are of no use to me and playing them for me is of no use for those businesses. Why are you playing Chicago ads for some almost 3 hours away?,2251775,Fri Nov 10 18:58:33 +0000 2017,,
1156902,1156901,@SpotifyCares The songs called Looking for a star (Can't get you out my head) by Xxxtentacion. It's off the album revenge. But y'all took the whole album off...,1156901,Tue Oct 24 16:11:06 +0000 2017,,
2798549,110063,@SpotifyCares Sorry for the language indeed.,2798548,Tue Nov 21 23:25:08 +0000 2017,,
888587,888576,@SpotifyCares New update tomorrow ?,888586,Fri Oct 13 22:11:18 +0000 2017,,
2973973,2973972,@SpotifyCares Yes please! Last year’s playlist is so much fun to look back on.,2973974,Thu Nov 30 02:05:25 +0000 2017,,
2972967,2972072,@SpotifyCares Same error message. https://t.co/c5C2ZRnM4o,2972074,Thu Nov 30 01:38:45 +0000 2017,,
206623,206622,@SpotifyCares You’ve responded with this same bogus reply a million times. Don’t respond unless you’re actually going to listen to your customers,206622,Wed Oct 04 23:47:30 +0000 2017,,
2293859,2293855,@SpotifyCares Okay i hope,2293858,Sun Nov 12 00:42:08 +0000 2017,,
1607066,1607065,@SpotifyCares i have subscribed to premium account but why still registered as a free account user? i try to log out then log in but nothing changes,1607067,Tue Nov 07 04:24:07 +0000 2017,,
1710269,1710268,@SpotifyCares @518150 Do it ASAP please 😅,1710268,Tue Nov 07 01:32:55 +0000 2017,,
1591183,1591182,@SpotifyCares @432273 I am also experiencing this issue and can’t seem to get it fixed.,1591182,Tue Nov 07 21:35:24 +0000 2017,,
2854451,2854450,@SpotifyCares That sorted it thanks,2854450,Mon Nov 27 20:55:28 +0000 2017,,
2118706,2118704,"@SpotifyCares Hi guys, thanks for the link. I already clean my cache regularly (~ every month), but I would love not to have to do that :) (thus, automatically cleaning old cached files). I'm on nexus, so I can't use a SD, sadly. Plus, app doesn't need that much data for real.",2118707,Wed Nov 08 14:29:15 +0000 2017,,
1211419,1211415,"@SpotifyCares That’s sad, but thanks!",1211418,Wed Oct 25 13:01:19 +0000 2017,,
110106,110101,"@SpotifyCares Hi I'm on a Samsung S7 Edge, Android 7.0 and Spotify version 8.4.28.875 armV7. Thanks",110107,Thu Nov 23 19:11:29 +0000 2017,,
1952766,1952762,"@SpotifyCares Yes they are. But, it takes couple of minutes to open a song or search a song properly at the first starts(when you open the app first time)",1952765,Sun Oct 29 16:35:22 +0000 2017,,
2307489,2307488,"@SpotifyCares Thank you for responding, Spotify. Great customer service.",2307490,Mon Nov 13 01:23:36 +0000 2017,,
2414555,2414554,"@SpotifyCares Hi - I waited a day or so to try again this morning, the same issue is happening.",2414554,Thu Nov 16 18:15:35 +0000 2017,,
898863,898859,"@SpotifyCares sad, okay thank you!!",898862,Sat Oct 21 04:37:11 +0000 2017,,
227511,227507,@SpotifyCares @170262 This isn’t a fix as it just reverts back. You need to update the app,227510,Thu Oct 05 16:49:00 +0000 2017,,
2788002,2788001,@SpotifyCares @778299 Everything is SO good on their end that dozens of people are reporting server errors and possible hacks on Twitter.,2788001,Tue Nov 21 19:12:03 +0000 2017,,
1406397,1406391,"@SpotifyCares i have an iphone 7, ios11, and i have spotify premium",1406396,Thu Nov 02 14:07:13 +0000 2017,,
2861327,2861326,@SpotifyCares hi i love u but there's no reply,2861326,Mon Nov 27 22:34:18 +0000 2017,,
1948845,1948844,@SpotifyCares Five years and counting... Make it happen! 😊,1948844,Mon Oct 30 16:22:10 +0000 2017,,
1992416,1992415,@SpotifyCares Great thanks. I'm a bit confused on the same address section. Can I not add my brother then if we don't share the same address?,1992415,Fri Nov 03 09:29:49 +0000 2017,,
857988,857986,@SpotifyCares Thanks yeah it comes up with a blue strip that says 'This song is not available. If you have the file on your computer you can import it.',857992,Fri Oct 20 16:51:54 +0000 2017,,
337866,337865,@SpotifyCares thx mate,337865,Sat Oct 07 23:00:37 +0000 2017,,
2381855,2381854,@SpotifyCares I sent it,2381854,Tue Nov 14 05:51:47 +0000 2017,,
1162282,1162281,@SpotifyCares Oooo got it,1162283,Fri Nov 10 17:45:31 +0000 2017,,
782933,782932,"@SpotifyCares All sorted now, thanks",782932,Mon Oct 23 07:52:24 +0000 2017,,
788969,788963,"@SpotifyCares be honest you have no intention of adding this feature, requested 6 years ago. and no update from you do spotify really care?",788968,Thu Oct 12 10:01:51 +0000 2017,,
2692968,2692967,@SpotifyCares thank you!!!,2692967,Sun Nov 19 17:46:37 +0000 2017,,
743547,743543,@SpotifyCares I noticed it today and I'm on private university wifi where each person has their own connection,743546,Wed Oct 11 17:41:49 +0000 2017,,
207206,207204,"@SpotifyCares Same as everything on this thread 👇🏾👇🏾

 https://t.co/3FWCYdN3rd",207211,Fri Oct 06 22:33:12 +0000 2017,,
574250,574249,@SpotifyCares Thank you. I greatly appreciate it. I reached out to them.,574249,Sun Dec 03 06:57:10 +0000 2017,,
2982072,2982071,@SpotifyCares Welp okay,2982071,Thu Nov 30 05:23:41 +0000 2017,,
186181,186178,"@SpotifyCares Sure, 8.4.21.508 armV7",186187,Wed Oct 04 06:44:56 +0000 2017,,
590162,590161,@SpotifyCares Oké i Will. Thx! No problem,590161,Sun Dec 03 16:39:51 +0000 2017,,
1355030,1355029,@SpotifyCares playlists are working normally. i updated spotify app this morning. any suggestions?,1355029,Mon Oct 16 14:31:37 +0000 2017,,
1695254,1695251,@SpotifyCares No,1695255,Mon Nov 06 17:22:07 +0000 2017,,
850709,850708,@SpotifyCares Here you go... https://t.co/vhYbOQ5xbw,850710,Fri Oct 13 13:12:55 +0000 2017,,
1701514,1701506,@SpotifyCares It worked 🤗,1701513,Wed Nov 08 03:49:19 +0000 2017,,
2707047,2707046,@SpotifyCares @SpotifyCares So and that's it right? You guys didn't even try to  give an adequate answer to your subscribers for 2 days? You guys really suck. Me and my friends are switching to SoundCloud.,2707046,Tue Nov 21 17:59:26 +0000 2017,,
2942718,2942714,"@SpotifyCares No, there's nothing else I want. I just want to use Spotify here.",2942717,Wed Nov 29 14:51:28 +0000 2017,,
2165558,2165557,@SpotifyCares Appreciate the response https://t.co/zSTsvf2EBK,2165559,Thu Nov 09 07:38:09 +0000 2017,,
2153176,2153172,@SpotifyCares if it helps I'm trying to get some of my dad's music out there if I can.,2153175,Thu Nov 09 02:56:08 +0000 2017,,
2395939,2395937,"@SpotifyCares artist: https://t.co/zrdFwvfXiR
what does not belong there: https://t.co/cdDksSfUE8 , 
https://t.co/NBwh3JcKGY ,
https://t.co/LhzB3Wpms5 , 
https://t.co/qHgVu5GmdS , 
https://t.co/Mo3jKquP7d ,
https://t.co/aNOIN2Yk6A ,
https://t.co/Cpf5OCkVos ,
https://t.co/15QqQ30NMt and more!",2395937,Thu Nov 16 10:51:55 +0000 2017,,
936648,936647,"@SpotifyCares Hey! I said that I couldn't subscribe to Spotify Premium for only 4,99, I made a request and they never answered",936647,Sat Oct 14 09:51:40 +0000 2017,,
1844549,1844548,@SpotifyCares it happens nearly all the time no matter if I’m connected to a speaker or not. Like today I put a playlist of 80 songs on shuffle and the first five songs were from the same album and each time I’d reshuffle I’d keep getting that same album even though I only had 13 songs from it,1844551,Wed Nov 08 05:37:34 +0000 2017,,
1704251,1704250,@SpotifyCares  https://t.co/cOqlIbMS3y,1704250,Mon Nov 06 22:16:51 +0000 2017,,
1240612,1240604,@SpotifyCares Oh sorry. Android version is 7.0,1240611,Wed Oct 25 22:38:56 +0000 2017,,
416496,416495,@SpotifyCares 8.4.22.857? I think.,416495,Tue Oct 10 03:02:19 +0000 2017,,
1739265,1739262,"@SpotifyCares Between songs and sometimes when I start the PL, it will play songs not on there.",1739269,Tue Nov 07 15:54:36 +0000 2017,,
2449733,2449732,@SpotifyCares thank u i’m sorry i said i would delete u i love you!!!,2449734,Wed Nov 15 03:00:04 +0000 2017,,
2981982,2981981,@SpotifyCares cool! your speediness and efforts are much appreciated!,2981983,Thu Nov 30 05:17:30 +0000 2017,,
2920791,2920790,@SpotifyCares Thank you!!!! So happy to have ya back,2920790,Wed Nov 29 03:16:36 +0000 2017,,
937557,937556,@SpotifyCares thankyou i live for spotify:),937556,Sun Oct 22 00:11:42 +0000 2017,,
46642,46640,@SpotifyCares excuses over excuses i just want the albums 😔,46643,Wed Nov 01 16:56:19 +0000 2017,,
1941826,1941824,@SpotifyCares Why yes of course. I switched to the student cost about five days ago. I paid for it and I see a charge on the account but I’m not able to u,1941827,Sun Oct 29 23:37:47 +0000 2017,,
1271324,1271323,"@SpotifyCares I get that, but telling me that GPS tracking is handshaking with my music app just comes off creepy as hell.",1271325,Thu Oct 26 14:09:53 +0000 2017,,
2643404,2643403,@SpotifyCares Seems to be fine using Firefox,2643403,Tue Oct 31 02:55:06 +0000 2017,,
2018593,2018592,@SpotifyCares i have but they either respond and don't do anything or just don't respond,2018592,Sat Nov 04 22:13:13 +0000 2017,,
1867683,1867682,@SpotifyCares Thank you,1867682,Sat Oct 21 05:19:48 +0000 2017,,
690853,690850,@SpotifyCares Here’s 680K Google results https://t.co/RSQirIhfI9 on “spotify explicit”. Enough of “we’ll be sure to pass it on”. Take action. Seriously.,690854,Sat Oct 28 23:22:04 +0000 2017,,
2075571,2075570,@SpotifyCares I can't update them until I have the new card sent as I don't yet know the number etc,2075570,Tue Oct 10 10:48:58 +0000 2017,,
211097,211096,@SpotifyCares Nope still doesn't work :(,211096,Wed Oct 04 17:53:54 +0000 2017,,
1692155,1692152,@SpotifyCares  https://t.co/V2SxAWQkKJ,1692159,Mon Nov 06 17:19:21 +0000 2017,,
2931081,67682,"@SpotifyCares I'm using android kitkat (Samsung), I'm using 6.0.0.864 armV7",2931080,Wed Nov 29 09:26:46 +0000 2017,,
1365045,1365041,"@SpotifyCares I just deleted the app and reinstalled it yesterday, so it should be.",1365044,Fri Oct 27 22:16:12 +0000 2017,,
1850463,189815,"@SpotifyCares i’m not having an issue with my spotify, i was just wondering if me being in community college, am i able to get the discount",1850464,Wed Oct 18 22:16:52 +0000 2017,,
1261984,1261981,"@SpotifyCares Windows 7 enterprise. I can load library and artists but nothing will play. Have checked Chrome settings, deleted cache etc.",1261986,Thu Oct 26 10:16:14 +0000 2017,,
2959348,2959347,@SpotifyCares  https://t.co/vkISxZyloZ,2959347,Wed Nov 29 20:14:09 +0000 2017,,
118896,118892,@SpotifyCares Please cek DM thanks you 😊🙏,118895,Fri Nov 24 02:51:08 +0000 2017,,
2706966,2706965,@SpotifyCares Latest version. iPhone X,2706965,Sun Nov 19 23:57:54 +0000 2017,,
1927119,1927118,@SpotifyCares I registered via facebook __email__,1927118,Fri Oct 27 17:58:55 +0000 2017,,
1310269,1310264,"@SpotifyCares No errors, if I'm in the middle of a song and tap on the song that doesn't play it immediately stops playing music",1310270,Wed Oct 18 00:49:53 +0000 2017,,
2308805,2308804,@SpotifyCares Okay thanks!,2308806,Mon Nov 13 02:31:23 +0000 2017,,
43461,43460,"@SpotifyCares Sure! It’s a concept album, so order is important. ☺️ Thanks! https://t.co/LRdM0G5fmo",43460,Wed Nov 01 18:38:29 +0000 2017,,
289993,289990,@SpotifyCares nope :(,289994,Mon Oct 09 14:37:39 +0000 2017,,
526267,526266,@SpotifyCares Shouldn’t there be an indicator here at the top saying how many downloads still need to happen? https://t.co/SqWtKPjjXi,526266,Sat Dec 02 09:26:10 +0000 2017,,
620378,620374,"@SpotifyCares Said songs /albums are all free and easily available on every famous streaming service like Saavn, YouTube etc. Also on some mp3 songs websites",620377,Wed Nov 22 17:43:02 +0000 2017,,
929685,929683,@SpotifyCares https://t.co/fg2pz0CopB,929686,Sat Oct 21 21:01:33 +0000 2017,,
1371868,1371867,@SpotifyCares https://t.co/tjHvHEL2vz aaaw men TFF is my favorite. Here's one for squashing every bug in the future 🎶🖤⚡👽,1371867,Mon Oct 16 16:10:38 +0000 2017,,
798495,798494,"@SpotifyCares Im in the US, It just uploaded and I'm listening to it now! Thank you &lt;3",798496,Fri Oct 13 04:08:08 +0000 2017,,
211389,211388,@SpotifyCares Sure thing I’ll check and revert with my findings ... thank you!,211390,Wed Oct 04 20:42:10 +0000 2017,,
2442005,2442002,@SpotifyCares I am an android:  Samsung Galaxy Sky Pro.  Idk where to find what version of Spotify?  All my apps are up to date.,2442006,Tue Nov 14 23:22:33 +0000 2017,,
2716999,2716974,"@SpotifyCares nothing happens, nice password though",2716998,Tue Nov 21 08:53:42 +0000 2017,,
1863281,1863277,@SpotifyCares Dang. Tried the reinstall and still can’t get my Frank.,1863280,Fri Oct 20 13:12:46 +0000 2017,,
1417605,1417604,@SpotifyCares It's a song that's missing on Spotify of the #FinallyItsChristmas  album,1417604,Sat Oct 28 20:51:57 +0000 2017,,
1074774,1074773,@SpotifyCares Didn’t work. I can’t play any John Mayer songs either fwiw.,1074773,Sun Oct 15 00:52:50 +0000 2017,,
2381842,2381841,"@SpotifyCares An iPod Touch 6th gen, running iOS 11.1.1",2381841,Tue Nov 14 06:15:14 +0000 2017,,
1000167,1000165,"@SpotifyCares All songs. I guess it's one thing if it's pulled by an artist, but if a licensing agreement is about to expire, a heads-up would be nice.",1000170,Fri Nov 03 18:56:32 +0000 2017,,
809604,809603,@SpotifyCares USA,809603,Thu Oct 12 18:58:27 +0000 2017,,
2216059,2216058,@SpotifyCares Hi! I’m using the spotify desktop app (ver. 10.66.478) on my macbook pro (OS high sierra). I tried the DNS fix (from the spotify community forum) and it worked for a while but now the error message is back.,2216058,Fri Nov 10 06:39:22 +0000 2017,,
1313125,1313119,@SpotifyCares this link can but it's not in Thai.,1313124,Fri Oct 27 08:24:04 +0000 2017,,
2783443,2783442,@SpotifyCares DM'd.,2783442,Tue Nov 21 18:22:10 +0000 2017,,
57575,57574,@SpotifyCares much appreciated!,57574,Wed Nov 01 20:11:04 +0000 2017,,
2175420,2175414,@SpotifyCares Looks like account country is set to Serbia. I'll see if I can change it right now,2175419,Thu Nov 09 18:25:01 +0000 2017,,
2110167,2110165,@SpotifyCares Done.,2110169,Wed Nov 08 15:32:08 +0000 2017,,
1250617,1250615,@SpotifyCares The phone I have is a Samsung Galaxy s7 active. And I'm using this version https://t.co/a88ppYuuGZ,1250619,Mon Oct 16 03:54:15 +0000 2017,,
888581,888576,@SpotifyCares Windows 950xl phone.,888580,Fri Oct 13 21:35:52 +0000 2017,,
684937,684935,@SpotifyCares It's £15 a month a Spotify subscription (family account) and another £15 in data usage (at least!) a month. So essentially i'm paying £30 :(,684935,Thu Nov 23 17:29:07 +0000 2017,,
1301944,1301940,@SpotifyCares Best response ever! Me @ the use of that song https://t.co/TpgOEZyFhe,1301943,Fri Oct 27 00:44:10 +0000 2017,,
2871147,2871146,@SpotifyCares Just did. Thanks,2871146,Tue Nov 28 11:53:00 +0000 2017,,
414138,414133,@SpotifyCares I'm using macOS Sierra ver 10.12 and my current Spotify version is 1.0.64.399.g4637b02a,414137,Tue Oct 10 01:54:40 +0000 2017,,
967386,967385,@SpotifyCares aight. thank you.,967385,Sat Oct 14 04:50:53 +0000 2017,,
1167965,1167964,@SpotifyCares That was a good read makes me want to learn more about @115888 where can I find more information,1167964,Tue Oct 24 19:03:52 +0000 2017,,
2914437,89461,@SpotifyCares Everything is working fine now! Thanks for fixing the issue! 😄,2914436,Tue Nov 28 22:32:35 +0000 2017,,
1019570,1019569,"@SpotifyCares i am trying it on my Mac Pro, in safari, but all I see is a white space. No success, and daughters complaining :-(",1019571,Sun Oct 22 15:17:27 +0000 2017,,
1169139,1169138,"@SpotifyCares 15” MacBook Pro, macOS Sierra 10.12.6, Spotify Premium 1.0.66478.g1296534d",1169138,Tue Oct 24 19:13:02 +0000 2017,,
911623,911616,"@SpotifyCares Still no luck, when ever I tap on a song the banner won’t even come up",911624,Thu Oct 19 20:42:08 +0000 2017,,
1791299,1046228,@SpotifyCares thank you for the reply!,1046230,Thu Oct 12 23:27:51 +0000 2017,,
712159,293873,@SpotifyCares No...You don't. You need to fix your app like you said you would six months ago idiots.,712162,Tue Oct 10 22:09:47 +0000 2017,,
1089040,1089037,"@SpotifyCares  thanks, but from that it seems like you have looked into it for three years now and still have status ""not right now""",1089041,Mon Oct 23 17:41:50 +0000 2017,,
1475979,1475977,@SpotifyCares @9756 @60948 @462659 Thanks!,1475980,Thu Nov 02 22:20:13 +0000 2017,,
1836179,1836175,@SpotifyCares @550588 I have been having the same problem for a few months now and still don't have an account :(,1836178,Wed Oct 18 15:41:04 +0000 2017,,
89560,89559,@SpotifyCares Love u,89561,Thu Nov 30 14:03:42 +0000 2017,,
964937,964930,"@SpotifyCares sent you a DM, hope I get your support",964934,Wed Oct 11 15:47:22 +0000 2017,,
1879421,1879420,"@SpotifyCares hello. I have a Google nexus 6p, android and Spotify fully up to date. #ty",1879420,Sun Oct 29 07:05:25 +0000 2017,,
